seed,model,accuracy,balanced_accuracy,f1,roc_auc,ece,brier,candidate,selection_score,temperature,decoherence_proxy,adversarial_balanced_accuracy,pca_explained_variance
11,TaskOnly_QML,0.9532163742690059,0.9531980140186915,0.9384615384615385,0.9926985981308412,0.036838415725544776,0.03491265236153379,1,0.9332904332904333,1.0,0.00018464261127140862,0.9485251168224299,0.7959891947437824
11,Uncertainty_U,0.9590643274853801,0.9610105140186915,0.9465648854961832,0.9924065420560748,0.02664855365200201,0.03579196067860381,5,0.9318952314716019,1.1,0.0005760422817722768,0.9485251168224299,0.7959891947437824
11,Risk_R,0.9590643274853801,0.9610105140186915,0.9465648854961832,0.9912383177570093,0.023551321109576813,0.036275918862448846,2,0.9332904332904333,1.0,0.0009252027149379511,0.9531980140186915,0.7959891947437824
11,Decoherence_DQ,0.9532163742690059,0.9531980140186915,0.9384615384615385,0.9924065420560748,0.020546089509831313,0.03486665998904187,1,0.9331506581331479,1.0,0.00031061146063419385,0.9485251168224299,0.7959891947437824
11,Full_UVIF_Q,0.9532163742690059,0.9531980140186915,0.9384615384615385,0.9921144859813084,0.022138361970571643,0.03513799874225358,5,0.923304740084727,1.2000000000000002,0.00065588198191296,0.9453855140186915,0.7959891947437824
22,TaskOnly_QML,0.9532163742690059,0.9563376168224299,0.9393939393939394,0.9935747663551402,0.022098639451148084,0.03482385358288282,0,0.9785499785499785,1.0,0.0018060971224429486,0.9563376168224299,0.791491350512244
22,Uncertainty_U,0.9532163742690059,0.9563376168224299,0.9393939393939394,0.9935747663551402,0.02192161112328228,0.03609094946063108,0,0.9758881933770671,0.6,0.001551240126077307,0.9563376168224299,0.791491350512244
22,Risk_R,0.9532163742690059,0.9563376168224299,0.9393939393939394,0.9929906542056075,0.025271449034684514,0.03512318345487102,0,0.9785499785499785,1.0,0.0019118564224809645,0.9594772196261683,0.791491350512244
22,Decoherence_DQ,0.9532163742690059,0.9563376168224299,0.9393939393939394,0.9932827102803738,0.025375382907000615,0.035104334219328015,0,0.9775943776899928,1.0,0.0021235574666349367,0.9563376168224299,0.791491350512244
22,Full_UVIF_Q,0.9532163742690059,0.9594772196261683,0.9402985074626866,0.9921144859813085,0.023578105805504623,0.0368081088646533,5,0.9679919515487565,0.6,0.001638786684068865,0.9641501168224299,0.791491350512244
33,TaskOnly_QML,0.9239766081871345,0.9204147196261683,0.8992248062015504,0.9779497663551401,0.02798156691505649,0.045668609058230725,0,0.9761904761904762,1.0,0.0014773811944507258,0.9329001168224299,0.7932522509586639
33,Uncertainty_U,0.935672514619883,0.9329001168224299,0.9147286821705426,0.9779497663551402,0.04147548832811333,0.04706513731301389,4,0.9740782448010985,0.6,0.000726382466481268,0.9282272196261683,0.7932522509586639
33,Risk_R,0.935672514619883,0.9329001168224299,0.9147286821705426,0.9773656542056074,0.028829283109331805,0.04650555382103549,3,0.9841269841269842,1.0,0.0008558268194193638,0.9204147196261683,0.7932522509586639
33,Decoherence_DQ,0.935672514619883,0.9329001168224299,0.9147286821705426,0.9772196261682243,0.024594502189986066,0.04616476227861927,3,0.983755477089531,1.0,0.000825571194340223,0.9126022196261683,0.7932522509586639
33,Full_UVIF_Q,0.935672514619883,0.9329001168224299,0.9147286821705426,0.9772196261682242,0.05484206061072597,0.052102914715357135,3,0.973727760940129,0.6,0.001097183428339215,0.9282272196261683,0.7932522509586639
