model,n_runs,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,f1_mean,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_ci95_low,roc_auc_ci95_high,ece_mean,ece_ci95_low,ece_ci95_high,brier_mean,brier_ci95_low,brier_ci95_high,adversarial_balanced_accuracy_mean,adversarial_balanced_accuracy_ci95_low,adversarial_balanced_accuracy_ci95_high,decoherence_proxy_mean,decoherence_proxy_ci95_low,decoherence_proxy_ci95_high
Risk_R,3,0.949317738791423,0.935672514619883,0.9590643274853802,0.9500827492211839,0.9329001168224299,0.9610105140186915,0.9335625023535551,0.9147286821705426,0.9465648854961831,0.9871982087227414,0.9773656542056074,0.9929906542056074,0.02588401775119771,0.023551321109576816,0.028829283109331805,0.03930155204611845,0.03512318345487102,0.04650555382103549,0.9443633177570093,0.9204147196261682,0.9594772196261682,0.0012309619856127598,0.0008558268194193639,0.0019118564224809645
Uncertainty_U,3,0.949317738791423,0.935672514619883,0.9590643274853802,0.9500827492211839,0.9329001168224299,0.9610105140186915,0.9335625023535551,0.9147286821705426,0.9465648854961831,0.9879770249221185,0.9779497663551403,0.9935747663551403,0.03001521770113254,0.02192161112328228,0.04147548832811333,0.0396493491507496,0.03579196067860381,0.04706513731301389,0.9443633177570093,0.9282272196261682,0.9563376168224299,0.0009512216247769506,0.0005760422817722768,0.001551240126077307
Full_UVIF_Q,3,0.9473684210526315,0.935672514619883,0.9532163742690059,0.9485251168224299,0.9329001168224299,0.9594772196261682,0.9311629093649225,0.9147286821705426,0.9402985074626867,0.9871495327102804,0.9772196261682242,0.9921144859813085,0.033519509462267415,0.022138361970571643,0.05484206061072597,0.04134967410742134,0.03513799874225358,0.052102914715357135,0.9459209501557634,0.9282272196261682,0.9641501168224299,0.00113061736477368,0.00065588198191296,0.0016387866840688649
Decoherence_DQ,3,0.9473684210526315,0.935672514619883,0.9532163742690059,0.9474785825545172,0.9329001168224299,0.9563376168224299,0.9308613866753402,0.9147286821705426,0.9393939393939394,0.9876362928348911,0.9772196261682243,0.9932827102803738,0.02350532486893933,0.020546089509831313,0.025375382907000615,0.03871191882899638,0.03486665998904187,0.04616476227861927,0.9391549844236761,0.9126022196261682,0.9563376168224299,0.0010865800405364511,0.00031061146063419385,0.0021235574666349367
TaskOnly_QML,3,0.9434697855750488,0.9239766081871345,0.9532163742690059,0.9433167834890966,0.9204147196261682,0.9563376168224299,0.9256934280190094,0.8992248062015505,0.9393939393939394,0.9880743769470405,0.9779497663551401,0.9935747663551403,0.028972874030583115,0.022098639451148084,0.036838415725544776,0.03846837166754911,0.03482385358288282,0.045668609058230725,0.9459209501557632,0.9329001168224299,0.9563376168224299,0.001156040309388361,0.00018464261127140862,0.0018060971224429486
